job_title,salary_range
Software Developer,"$80,000 - $150,000"
Data Scientist,"$90,000 - $160,000"
Systems Administrator,"$65,000 - $120,000"
Network Engineer,"$75,000 - $130,000"
Database Administrator,"$85,000 - $140,000"
IT Security Specialist,"$90,000 - $160,000"
DevOps Engineer,"$95,000 - $165,000"
Cloud Architect,"$120,000 - $200,000"
Full Stack Developer,"$85,000 - $155,000"
Frontend Developer,"$75,000 - $140,000"
Backend Developer,"$80,000 - $150,000"
Machine Learning Engineer,"$100,000 - $180,000"
Business Intelligence Developer,"$85,000 - $145,000"
IT Project Manager,"$95,000 - $170,000"
Quality Assurance Engineer,"$70,000 - $130,000"
Mobile Application Developer,"$80,000 - $145,000"
UI/UX Designer,"$70,000 - $130,000"
Systems Architect,"$110,000 - $190,000"
Data Engineer,"$90,000 - $160,000"
Information Security Analyst,"$85,000 - $155,000"
Technical Support Specialist,"$45,000 - $85,000"
Web Developer,"$70,000 - $130,000"
Software Architect,"$120,000 - $200,000"
IT Consultant,"$80,000 - $150,000"
Site Reliability Engineer,"$100,000 - $175,000"
Artificial Intelligence Engineer,"$100,000 - $180,000"
Computer Systems Analyst,"$75,000 - $135,000"
IT Operations Manager,"$90,000 - $160,000"
Cloud Security Engineer,"$95,000 - $170,000"
Data Analyst,"$65,000 - $120,000"
Infrastructure Engineer,"$85,000 - $150,000"
Software Quality Assurance Engineer,"$75,000 - $135,000"
Network Security Engineer,"$90,000 - $160,000"
Application Support Engineer,"$60,000 - $110,000"
IT Systems Manager,"$95,000 - $165,000"
Database Engineer,"$85,000 - $145,000"
Cloud Solutions Architect,"$115,000 - $195,000"
Enterprise Architect,"$130,000 - $220,000" 